nome,Cognome,votazione,gruppoVotazione
IGNAZIO,ABRIGNANI,si,Misto
FERDINANDO,ADORNATO,si,AP (NCD-UDC)
DONATELLA,AGOSTINELLI,-,M5S
LUCIANO,AGOSTINI,si,PD
ROBERTA,AGOSTINI,si,PD
FERDINANDO,AIELLO,-,PD
GIORGIO,AIRAUDO,-,SI-SEL
LUISELLA,ALBANELLA,si,PD
FERDINANDO,ALBERTI,-,M5S
TEA,ALBINI,si,PD
ANGELINO,ALFANO,-,AP (NCD-UDC)
GIOACCHINO,ALFANO,si,AP (NCD-UDC)
DANIEL,ALFREIDER,si,Misto
STEFANO,ALLASIA,-,Lega
PAOLO,ALLI,si,AP (NCD-UDC)
TRIFONE,ALTIERI,-,Misto
MARIA,AMATO,si,PD
VINCENZO,AMENDOLA,si,PD
MARIA TERESA,AMICI,si,PD
SOFIA,AMODDIO,si,PD
ANTONIO,ANGELUCCI,-,FI-PdL
MARIA,ANTEZZA,si,PD
MICHELE,ANZALDI,si,PD
BRUNO,ARCHI,-,FI-PdL
ILEANA,ARGENTIN,si,PD
TIZIANO,ARLOTTI,si,PD
MASSIMO,ARTINI,-,Misto
ANNA,ASCANI,si,PD
ANGELO GIOACHINO GAETANO,ATTAGUILE,-,Lega
MARCO,BALDASSARRE,-,Misto
SIMONE,BALDELLI,-,FI-PdL
MAURIZIO,BARADELLO,si,DS-CD
SEBASTIANO,BARBANTI,si,PD
PIER PAOLO,BARETTA,si,PD
CRISTINA,BARGERO,si,PD
MASSIMO ENRICO,BARONI,-,M5S
DAVIDE,BARUFFI,si,PD
TATIANA,BASILIO,-,M5S
LORENZO,BASSO,si,PD
DEMETRIO,BATTAGLIA,si,PD
SERGIO,BATTELLI,-,M5S
ALFREDO,BAZOLI,si,PD
LORENZO,BECATTINI,si,PD
ELEONORA,BECHIS,-,Misto
TERESA,BELLANOVA,si,PD
GIANLUCA,BENAMATI,si,PD
SILVIA,BENEDETTI,-,M5S
PAOLO,BENI,si,PD
DEBORAH,BERGAMINI,-,FI-PdL
MARCO,BERGONZI,si,PD
MARINA,BERLINGHIERI,si,PD
MAURIZIO,BERNARDO,si,AP (NCD-UDC)
MASSIMILIANO,BERNINI,-,M5S
PAOLO,BERNINI,-,M5S
GIUSEPPE,BERRETTA,si,PD
PIER LUIGI,BERSANI,si,PD
DORINA,BIANCHI,si,AP (NCD-UDC)
MARIASTELLA,BIANCHI,si,PD
NICOLA,BIANCHI,-,M5S
MICHAELA,BIANCOFIORE,-,FI-PdL
MAURIZIO,BIANCONI,-,Misto
SANDRO MARIO,BIASOTTI,-,FI-PdL
ROSARIA,BINDI,si,PD
PAOLA,BINETTI,si,AP (NCD-UDC)
CATERINA,BINI,si,PD
FRANCA MARIA GRAZIA,BIONDELLI,si,PD
TAMARA,BLAZINA,si,PD
LUIGI,BOBBA,si,PD
SERGIO,BOCCADUTRI,si,PD
GIANPIERO,BOCCI,si,PD
FRANCESCO,BOCCIA,si,PD
ANTONIO MICHELE,BOCCUZZI,si,PD
PAOLA,BOLDRINI,si,PD
PAOLO,BOLOGNESI,si,PD
ALBERTO,BOMBASSEI,si,SCpI
LORENZA,BONACCORSI,si,PD
ALFONSO,BONAFEDE,-,M5S
FRANCESCO,BONIFAZI,si,PD
FRANCESCA,BONOMO,si,PD
FRANCO,BORDO,-,SI-SEL
MICHELE,BORDO,si,PD
MARIO,BORGHESE,-,Misto
STEFANO,BORGHESI,-,Lega
ENRICO,BORGHI,si,PD
ILARIA CARLA ANNA,BORLETTI DELL'ACQUA,si,PD
MARIA ELENA,BOSCHI,si,PD
ANTONINO,BOSCO,si,AP (NCD-UDC)
LUISA,BOSSA,si,PD
UMBERTO,BOSSI,-,Lega
CHIARA,BRAGA,si,PD
MATTEO,BRAGANTINI,si,Misto
PAOLA,BRAGANTINI,si,PD
MICHELA VITTORIA,BRAMBILLA,-,FI-PdL
GIORGIO,BRANDOLIN,si,PD
ALESSANDRO,BRATTI,si,PD
GIUSEPPE,BRESCIA,-,M5S
GIANCLAUDIO,BRESSA,si,PD
BEATRICE,BRIGNONE,-,Misto
MARCO,BRUGNEROTTO,-,M5S
RENATO,BRUNETTA,-,FI-PdL
VINCENZA,BRUNO BOSSIO,si,PD
FRANCESCO,BRUNO,-,Misto
RENATA,BUENO,si,Misto
GIOVANNI MARIO SALVINO,BURTONE,si,PD
FILIPPO,BUSIN,-,Lega
FRANCESCA,BUSINAROLO,-,M5S
MIRKO,BUSTO,-,M5S
ROCCO,BUTTIGLIONE,si,AP (NCD-UDC)
ANNAGRAZIA,CALABRIA,-,FI-PdL
RAFFAELE,CALABRO',-,AP (NCD-UDC)
VANESSA,CAMANI,si,PD
MICAELA,CAMPANA,si,PD
AZZURRA PIA MARIA,CANCELLERI,-,M5S
EMANUELE,CANI,si,PD
ROBERTO,CAON,si,Misto
DAVIDE CARLO,CAPARINI,-,Lega
ROBERTO,CAPELLI,si,DS-CD
DANIELE,CAPEZZONE,-,Misto
ANGELO,CAPODICASA,-,PD
SALVATORE,CAPONE,si,PD
SABRINA,CAPOZZOLO,si,PD
ILARIA,CAPUA,-,SCpI
ERNESTO,CARBONE,si,PD
DANIELA,CARDINALE,si,PD
RENZO,CARELLA,si,PD
MARIA ROSARIA,CARFAGNA,-,FI-PdL
FRANCESCO,CARIELLO,-,M5S
PAOLA,CARINELLI,-,M5S
ANNA MARIA,CARLONI,si,PD
ELENA,CARNEVALI,si,PD
MARA,CAROCCI,si,PD
MARCO,CARRA,si,PD
PIERGIORGIO,CARRESCIA,si,PD
MARIA CHIARA,CARROZZA,si,PD
MARIO,CARUSO,si,DS-CD
EZIO PRIMO,CASATI,si,PD
FLORIANA,CASELLATO,si,PD
LUIGI,CASERO,si,AP (NCD-UDC)
VINCENZO,CASO,-,M5S
FRANCESCO,CASSANO,si,PD
LAURA,CASTELLI,-,M5S
GIUSEPPINA,CASTIELLO,-,FI-PdL
GIUSEPPE,CASTIGLIONE,-,AP (NCD-UDC)
ANTONIO,CASTRICONE,si,PD
IVAN,CATALANO,si,Misto
MARIO,CATANIA,si,SCpI
FRANCESCO,CATANOSO GENOESE,-,FI-PdL
MARCO,CAUSI,si,PD
ANDREA,CAUSIN,si,AP (NCD-UDC)
ANDREA,CECCONI,-,M5S
SUSANNA,CENNI,si,PD
BRUNO,CENSORE,si,PD
ELENA,CENTEMERO,-,FI-PdL
ANGELO,CERA,-,AP (NCD-UDC)
ANTIMO,CESARO,si,SCpI
LUIGI,CESARO,-,FI-PdL
KHALID,CHAOUKI,-,PD
GIANFRANCO GIOVANNI,CHIARELLI,-,Misto
SILVIA,CHIMIENTI,-,M5S
FABRIZIO,CICCHITTO,-,AP (NCD-UDC)
ELEONORA,CIMBRO,si,PD
TIZIANA,CIPRINI,-,M5S
NICOLA,CIRACI',-,Misto
EDMONDO,CIRIELLI,-,FdI
GIUSEPPE,CIVATI,-,Misto
LAURA,COCCIA,si,PD
MATTEO,COLANINNO,si,PD
ANDREA,COLLETTI,-,M5S
VEGA,COLONNESE,-,M5S
CLAUDIO,COMINARDI,-,M5S
MIRIAM,COMINELLI,si,PD
PAOLO,COPPOLA,si,PD
EMANUELA,CORDA,-,M5S
MASSIMO ENRICO,CORSARO,-,Misto
MARIA,COSCIA,si,PD
ENRICO,COSTA,si,AP (NCD-UDC)
CELESTINA,COSTANTINO,-,SI-SEL
PAOLO,COVA,si,PD
STEFANIA,COVELLO,si,PD
EMANUELE,COZZOLINO,-,M5S
ROCCO,CRIMI,-,FI-PdL
FILIPPO,CRIMI',si,PD
DAVIDE,CRIPPA,-,M5S
DIEGO,CRIVELLARI,si,PD
MAGDA,CULOTTA,-,PD
ANTONIO,CUOMO,si,PD
GIOVANNI,CUPERLO,si,PD
TOMMASO,CURRO',-,PD
ANGELO ANTONIO,D'AGOSTINO,si,SCpI
LUCA,D'ALESSANDRO,si,Misto
GIANPIERO,D'ALIA,si,AP (NCD-UDC)
GIUSEPPE,D'AMBROSIO,-,M5S
VINCENZO,D'ARIENZO,si,PD
ALFREDO,D'ATTORRE,-,SI-SEL
FEDERICO,D'INCA',-,M5S
VITTORIA,D'INCECCO,si,PD
UMBERTO,D'OTTAVIO,si,PD
FRANCESCO,D'UVA,-,M5S
MARCO,DA VILLA,-,M5S
FABIANA,DADONE,-,M5S
FEDERICA,DAGA,-,M5S
GIAN PIETRO,DAL MORO,si,PD
MATTEO,DALL'OSSO,-,M5S
LUIGI,DALLAI,si,PD
STEFANO,DAMBRUOSO,si,SCpI
CESARE,DAMIANO,si,PD
NUNZIA,DE GIROLAMO,-,FI-PdL
DIEGO,DE LORENZIS,-,M5S
ANDREA,DE MARIA,si,PD
ROGER,DE MENECH,si,PD
PAOLA,DE MICHELI,-,PD
GIUSEPPE,DE MITA,-,AP (NCD-UDC)
MASSIMO FELICE,DE ROSA,-,M5S
UMBERTO,DEL BASSO DE CARO,si,PD
DANIELE,DEL GROSSO,-,M5S
CARLO,DELL'ARINGA,si,PD
MICHELE,DELL'ORCO,-,M5S
IVAN,DELLA VALLE,-,M5S
LORENZO,DELLAI,si,DS-CD
ALESSANDRO,DI BATTISTA,-,M5S
