nome,Cognome,Votazione,gruppoVotazione
Piero,Aiello,si,AP  (NCD-UDC)
Alberto,Airola,no,M5S
Donatella,Albano,si,PD
Gabriele,Albertini,si,AP  (NCD-UDC)
Bruno,Alicata,no,FI-PdL
Silvana,Amati,si,PD
Bartolomeo,Amidei,no,FI-PdL
Francesco Maria,Amoruso,si,AL-A
Ignazio,Angioni,si,PD
Fabiola,Anitori,-,AP  (NCD-UDC)
Francesco,Aracri,no,FI-PdL
Paolo,Arrigoni,-,Lega
Bruno,Astorre,si,PD
Andrea,Augello,-,GAL
Domenico,Auricchio,si,AL-A
Antonio,Azzollini,-,AP  (NCD-UDC)
Lucio,Barani,si,AL-A
Giovanni,Barozzino,no,Misto
Lorenzo,Battista,si,Aut (SVP-UV-PATT-UPT-PSI)
Raffaela,Bellot,si,Misto
Alessandra,Bencini,si,Misto
Hans,Berger,si,Aut (SVP-UV-PATT-UPT-PSI)
Anna Maria,Bernini,-,FI-PdL
Stefano,Bertacco,no,FI-PdL
Ornella,Bertorotta,no,M5S
Maria Teresa,Bertuzzi,si,PD
Amedeo,Bianco,si,PD
Laura,Bianconi,si,AP  (NCD-UDC)
Laura,Bignami,no,Misto
Giovanni,Bilardi,si,AP  (NCD-UDC)
Patrizia,Bisinella,si,Misto
Rosetta Enza,Blundo,no,M5S
Bernabo',Bocca,si,FI-PdL
Michele,Boccardi,no,FI-PdL
Fabrizio,Bocchino,no,Misto
Paolo,Bonaiuti,-,AP  (NCD-UDC)
Sandro,Bondi,si,Misto
Anna Cinzia,Bonfrisco,no,CoR
Daniele Gaetano,Borioli,si,PD
Laura,Bottici,no,M5S
Claudio,Broglia,si,PD
Francesco,Bruni,no,CoR
Filippo,Bubbico,si,PD
Maurizio,Buccarella,no,M5S
Enrico,Buemi,si,Aut (SVP-UV-PATT-UPT-PSI)
Elisa,Bulgarelli,no,M5S
Roberto,Calderoli,no,Lega
Massimo,Caleo,si,PD
Giacomo,Caliendo,no,FI-PdL
Francesco,Campanella,no,Misto
Stefano,Candiani,no,Lega
Laura,Cantini,si,PD
Rosaria,Capacchione,si,PD
Enrico,Cappelletti,no,M5S
Franco,Cardiello,no,FI-PdL
Valeria,Cardinali,si,PD
Antonio Stefano,Caridi,no,GAL
Franco,Carraro,no,FI-PdL
Monica,Casaletto,no,GAL
Pier Ferdinando,Casini,si,AP  (NCD-UDC)
